"gene_id","FM2_5_1","FM2_5_2","FM2_5_3","FM2_5_4","FM2_5_5","FM2_5_6","R20291_1","R20291_2","R20291_3","R20291_4","R20291_5","R20291_6","Rv189_1","Rv189_2","Rv189_3","Rv189_4","Rv189_5","Rv189_6","Rv9_1","Rv9_2","Rv9_3","Rv9_4","Rv9_5","Rv9_6"
"gene-CDR20291_RS15395",7199,8446,6137,842,799,901,5009,14720,17494,721,719,768,6969,5757,10937,717,780,403,6691,6019,7150,652,685,617
"gene-CDR20291_RS15400",9217,9306,11294,1356,2769,744,12206,2286,3457,1000,458,1916,16275,6323,7874,2174,1700,3974,408,7761,4336,799,387,1799
"gene-CDR20291_RS15405",3250,4067,3938,394,206,381,1880,2603,3188,294,277,294,2975,2920,3450,269,274,261,2139,2675,2310,239,301,239
"gene-CDR20291_RS15410",384,436,390,36,10,27,181,251,212,28,24,53,288,228,264,57,27,26,229,293,230,30,38,33
"gene-CDR20291_RS15415",5425,6544,7898,467,751,424,5639,8237,13952,542,354,573,6148,4114,7310,638,519,362,2044,7843,7999,766,269,870
"gene-CDR20291_RS15420",11,16,11,0,2,2,29,515,429,2,0,0,6,44,24,0,1,3,93,20,57,1,1,1
"gene-CDR20291_RS15425",4500,5703,3431,882,1725,1069,6742,11993,18396,775,708,638,7148,2850,6867,919,1166,467,2587,6420,8968,973,710,980
"gene-CDR20291_RS15430",0,2,0,0,0,0,1,21,24,1,0,0,4,4,0,1,0,1,4,1,9,1,0,0
"gene-CDR20291_RS01840",15142,20557,11258,2364,2138,1697,16853,11196,15014,2916,3373,3064,21692,7083,15026,1559,3434,1143,2859,31651,31415,3140,3690,3090
"gene-CDR20291_RS15435",19,18,10,1,1,12,19,1051,1745,2,15,3,92,31,95,5,1,2,612,32,188,15,42,5
"gene-CDR20291_RS15440",226,308,324,37,47,20,279,535,657,44,15,46,299,273,371,54,30,55,176,251,373,58,34,39
"gene-CDR20291_RS15445",73,122,26,22,25,29,36,141,127,14,33,16,54,107,199,15,19,11,75,61,165,19,17,30
"gene-CDR20291_RS15450",23832,29742,22667,3090,2675,2196,14549,3256,3730,1938,1549,2850,21158,12160,18048,3115,3051,2098,834,18116,13557,2168,1549,1955
"gene-CDR20291_RS15455",6640,8061,7503,710,680,525,6242,16206,19601,960,754,739,6726,3689,3639,582,875,460,4787,8102,12484,824,1056,720
