"gene_id","Sal-marker2-LE-rep-2_S6_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-3_S7_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-4_S8_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-1_S13_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-2_S14_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-3_S15_R1_001 (GE) - Total counts","Sal-sip-LE-rep-1_S9_R1_001 (GE) - Total counts","Sal-sip-LE-rep-2_S10_R1_001 (GE) - Total counts","Sal-sip-LE-rep-3_S11_R1_001 (GE) - Total counts"
"RSSL_00365",6544,5682,5898,7647,7168,8159,6221,5517,4682
"RSSL_00364",10843,9271,9061,12360,11614,13443,9997,8562,7370
"RSSL_00363",3583,3205,3176,3376,3486,3875,3386,2896,2551
"RSSL_00362",1672,1491,1485,1660,1673,1840,1563,1498,1124
"RSSL_00361",1903,1836,2275,1460,1318,1475,1673,1573,1141
"RSSL_00360",5922,5541,7197,5100,4291,4896,5187,4386,3590
"RSSL_00359",3405,3236,4140,4430,4408,4866,4018,3929,3103
"RSSL_00358",436,450,524,535,476,568,521,525,396
"RSSL_00357",955,1032,890,1072,1105,1136,1084,811,738
"RSSL_00356",443,434,423,497,471,549,448,412,324
"RSSL_00355",5155,4800,4988,5771,5472,5869,5077,4601,3759
"RSSL_00354",4219,4010,4560,5355,4705,5158,4847,4492,3429
"RSSL_00353",103,102,97,116,89,118,104,94,76
"RSSL_00352",2670,2404,1964,2578,2322,2641,2382,1937,1753
"RSSL_00351",476,418,391,472,462,547,484,389,306
