"locus","SCV24_1","SCV24_2","REVa_1","REVa_2","REVb_1","REVb_2","SCV104357_1","SCV104357_2"
"PA14_05550,oprM",684,688,1868,2444,2464,396,3393,3762
"PA14_05560,rhlE",691,1018,1393,1081,1189,170,1823,2000
"PA14_05580",392,365,711,821,702,95,541,667
"PA14_05590,metF",796,398,931,992,791,245,355,339
"PA14_05600",275,339,369,509,322,91,471,632
"PA14_05620,sahH",2594,2708,3476,3990,3068,916,2611,2719
"PA14_05630",4,8,6,2,4,2,6,11
"PA14_05640,bfrG",2,10,8,8,3,2,33,25
"PA14_05650",9,9,29,24,38,5,37,23
"PA14_05660",357,481,1139,1125,1480,232,1034,1343
"PA14_05690,codA",166,170,478,539,498,75,181,189
"PA14_05700,codB",72,84,150,224,206,21,44,34
"PA14_05740,pydA",473,554,2043,2169,2426,292,77,91
"PA14_05750,gltX",361,404,1740,1596,2069,243,91,134
"PA14_05770,dhT",1280,792,5446,4720,5297,794,673,832
"PA14_05775",2,2,7,9,5,2,12,4
"PA14_05790",754,817,3029,2203,2829,547,52,60
"PA14_05810,amaB",404,499,1912,2008,2265,377,48,46
"PA14_05820",158,327,1583,336,1573,71,589,860
"PA14_05840,gcdH",1710,1826,15469,2445,12017,1106,8312,13082
"PA14_05850",96,85,424,338,298,40,168,143
"PA14_05860",815,873,6276,6078,8061,1240,1650,1363
"PA14_05870",7,8,21,17,12,2,12,14
"PA14_05880,nfeD",25,15,61,115,143,14,39,52
"PA14_05890",10,23,51,43,104,10,45,40
"PA14_05910",12,14,27,27,26,6,16,18
"PA14_05920",151,186,443,430,382,65,350,421
"PA14_05950,dbpA",157,200,253,214,298,47,202,369
"PA14_05960,cspB",431,980,674,511,704,91,2315,4351
"PA14_05970",5,16,6,13,17,3,55,53
"PA14_05990,emrA",36,56,153,91,88,14,97,101
"PA14_06000,clpA",1636,3038,12233,7967,8067,1604,3822,2952
"PA14_06010",331,775,967,873,1314,125,3217,4709
"PA14_06030",208,196,341,205,174,37,241,273
"PA14_06040",438,771,432,377,627,84,2179,3228
"PA14_06060,creB",43,48,38,41,46,6,78,125
"PA14_06070,creC",88,122,179,106,81,19,142,137
"PA14_06080,creD",25,11,11,17,19,5,19,18
"PA14_06090",5,3,4,3,7,0,2,5
"PA14_06120",23,34,67,80,90,12,87,79
"PA14_06130",22,26,86,72,101,15,78,85
"PA14_06150",76,74,166,116,147,13,335,399
"PA14_06160,fiuA",859,543,1998,2220,2401,233,79,79
"PA14_06170,fiuR",33,19,11,46,84,3,9,14
"PA14_06180,fiuI",21,17,4,37,83,1,6,16
"PA14_06190,psfA",130,169,324,251,368,37,198,236
"PA14_06200",1,2,2,3,6,0,12,24
"PA14_06210",8,9,39,25,28,2,52,78
