gene_id,Mut  - 77-KO_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-3_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-4_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP-2_TTCGCT_L001_R1_001 (paired)-1 (GE) - Total gene reads,Mut + DP - 77-KO+DP-3_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77+DP-KO-4_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-2_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-3_CACACA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-4_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-3_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-4_ACAAAC_L001_R1_001 (paired) (GE) - Total gene reads
PGN_RS00465,13965,13235,13839,21534,7655,7787,10896,19564,6937,4214,3033,6179,6879,7449,7507,9231
PGN_RS00480,1154,744,1554,1321,513,389,1209,1014,327,230,427,441,333,415,954,760
PGN_RS00485,8831,6710,6235,9408,3980,2977,5851,5532,3548,1398,2089,2124,2235,3751,2889,2895
PGN_RS00490,916,613,1031,1864,677,385,1091,1454,175,106,294,357,182,165,265,414
PGN_RS00495,268,303,161,314,277,174,285,455,215,143,362,666,138,194,233,524
PGN_RS00500,50,53,76,56,67,31,58,64,25,17,44,49,25,28,64,49
PGN_RS00505,146,95,198,359,160,106,114,199,96,63,130,400,126,152,209,1700
PGN_RS00510,6620,10069,3483,3697,5463,6234,2370,3595,4373,5425,2311,3209,8206,5770,5890,5177
PGN_RS00515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS00520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS00530,71,45,43,66,53,27,55,117,41,24,91,242,61,59,87,129
PGN_RS00545,2234,1406,2034,847,1452,956,1504,461,1057,776,705,332,876,924,1826,822
PGN_RS00565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS00570,6634,7233,2149,2325,6473,5460,2567,1975,6547,4659,2102,1448,4518,5185,3511,2586
PGN_RS00575,13857,11593,8355,7402,10400,7944,8887,6398,10929,7298,7845,4615,7533,8995,14502,9005
PGN_RS00585,1559,1273,591,1162,1133,851,809,1497,1929,896,1129,2434,1703,1685,1456,2370
PGN_RS00590,1562,1150,1236,1287,640,370,1063,1080,1338,657,1256,2076,1284,1208,2348,2409
PGN_RS00595,3442,3287,1484,1985,2430,1606,1462,1916,3171,2083,1861,2984,3080,3587,3097,3462
PGN_RS00600,17186,20983,10499,7390,11581,9821,13681,7971,22222,16060,11028,14274,24848,27579,16593,16878
PGN_RS00605,853,871,1141,484,642,668,2222,615,920,1002,1435,928,1244,729,1999,1008
PGN_RS00610,1986,1393,840,1140,1504,940,785,1395,1757,845,1388,3506,1614,1535,1423,1965
PGN_RS00615,683,757,424,491,630,556,331,344,698,489,422,340,508,595,901,514
PGN_RS00620,679,728,815,793,700,469,734,377,587,349,584,448,547,495,1146,741
PGN_RS00630,2127,1563,1371,1233,1606,920,1500,1424,2677,1602,1704,1750,2082,1666,2969,1993
PGN_RS00635,126370,99238,22354,42293,127447,73497,23807,45130,92588,56724,28984,40317,57789,92846,37055,44584
PGN_RS00650,5743,4194,3379,3171,7853,4257,4397,3071,7010,3561,3408,3626,2905,4202,5234,3347
PGN_RS00665,11664,10448,5436,6874,13173,8251,3985,6579,13575,5822,3804,6981,6908,11361,7105,8164
PGN_RS00670,2005,1620,1201,1114,1554,1118,862,1452,1545,1238,954,1107,1145,1190,2899,1204
PGN_RS00680,820,763,468,448,920,606,559,528,827,546,611,746,680,550,724,561
PGN_RS00685,9471,8358,5243,5001,11847,8290,5427,4309,9685,6602,4835,3697,6020,5943,7258,5031
PGN_RS00690,3890,3441,1652,2985,2565,1691,1326,2075,3414,1982,1711,2253,2583,3229,2970,3923
PGN_RS00695,7306,5905,3802,4834,5503,3315,3092,3892,5702,3238,3284,4030,4578,5068,5933,5400
PGN_RS00700,5504,6050,3853,5030,6287,5120,4258,4202,6187,4430,5155,4453,3552,4041,8455,4861
PGN_RS00705,5499,5117,3373,3114,5818,3872,3233,2595,5200,3060,2525,2512,3783,3912,3502,3100
PGN_RS00710,6624,4872,976,496,11517,7128,820,508,22371,8545,3829,899,5268,9787,5540,892
PGN_RS00715,6479,3387,1787,494,11553,4733,1859,521,22896,5603,3171,977,4437,7788,4383,752
PGN_RS00720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS00725,11374,24378,12035,8445,26630,33013,13215,14937,21474,34683,19660,16921,19619,7671,42464,12473
PGN_RS00730,3452,2534,3315,2424,3625,2450,7198,3119,5451,3917,10385,7089,2403,2051,8631,4258
PGN_RS00740,86,97,102,103,70,68,82,45,53,50,53,47,145,61,72,112
PGN_RS00745,357,400,422,258,352,284,306,168,178,198,239,165,396,205,272,198
PGN_RS00765,72,90,85,46,46,49,114,34,63,60,90,62,133,69,146,62
PGN_RS00770,220,240,101,234,142,89,249,159,249,192,415,461,274,186,326,389
PGN_RS00775,2776,4129,3735,3485,3113,3591,2796,1421,2237,2337,1875,1087,4692,2280,5024,4387
PGN_RS00780,1847,1738,1341,1912,1417,1110,1372,1646,1276,973,1941,2069,1378,1375,2985,2026
PGN_RS00785,1352,1569,1092,1133,1107,844,807,691,1009,813,719,559,1102,1008,1844,1295
PGN_RS00790,3933,4473,2556,2828,3224,2677,2172,1774,2576,2722,1763,1295,3537,3177,3978,2756
PGN_RS00810,1138,814,1232,1029,1577,773,1158,914,1011,577,724,577,572,565,2020,862
PGN_RS00815,228,201,312,143,292,180,301,115,221,118,139,84,270,134,198,204
PGN_RS00820,293,363,434,417,468,397,493,343,354,302,419,315,425,250,810,579
PGN_RS00825,12699,13804,2193,5485,10644,8734,1509,2815,14735,10910,1280,2982,9180,10164,4074,3776
PGN_RS00830,21288,17543,4411,11188,13522,11034,2323,5340,18467,12506,2679,5171,11792,13672,11020,7963
PGN_RS00835,45894,23680,17543,30523,24558,14877,8692,9933,46394,20451,8700,13834,23435,29712,35174,27537
PGN_RS00840,15795,9841,2125,6911,9422,6282,871,3252,16479,6210,1110,2442,6224,8287,4441,4554
PGN_RS00845,18088,13423,2734,14848,12012,8826,964,6026,18868,8060,1609,5692,7402,10681,7981,10025
PGN_RS00850,13143,7755,2219,10374,7157,5262,965,3372,14419,6069,1222,3701,6468,8545,4853,9325
PGN_RS00855,17872,11498,2503,13833,10286,6664,1194,5610,18322,7383,1533,4320,8022,12749,5597,9047
PGN_RS00865,5156,5158,3743,2836,6475,5207,3873,2337,4527,4072,2920,1700,4406,3037,5032,4314
PGN_RS00875,5639,6706,4952,4512,5399,5833,5608,4568,4900,4900,6389,3414,5621,4646,11631,6196
PGN_RS00890,15319,14038,8121,10915,13265,10479,8502,9794,16904,7895,5705,7954,8417,11364,7940,11143
PGN_RS00895,5106,4487,2034,5197,3961,2843,1660,3802,5433,2571,2297,3518,2825,3546,4858,5891
PGN_RS00910,1463,1479,1742,1115,1334,1175,1146,797,856,789,894,614,999,859,2360,1026
PGN_RS00915,9727,11816,2577,4530,8077,5729,1897,3722,8836,5919,2269,3029,6888,8778,4201,3764
PGN_RS00920,9307,9454,4146,7355,7974,7067,4491,6028,8094,5882,5132,6074,6753,6950,8834,7232
PGN_RS00925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS00930,196,231,195,168,295,230,126,95,188,128,126,155,136,113,287,155
PGN_RS00935,3082,3320,1231,1647,3146,2746,1763,2063,4673,2697,1763,2871,2554,3552,2273,1794
PGN_RS00940,1442,1488,718,1476,2102,1392,977,1611,1961,1099,1495,2351,928,1232,1586,1899
PGN_RS00945,2840,2565,1828,1696,4118,2534,1647,1449,3243,2060,1104,1137,1846,1855,2783,1956
PGN_RS00950,2197,2528,1340,1990,2818,2408,1291,1518,2224,1490,1333,1252,1465,1475,2529,2074
PGN_RS00960,1560,1402,406,972,1190,980,265,669,1385,739,346,449,743,824,879,688
PGN_RS00975,3329,3016,2576,2196,3511,2457,2189,1746,3262,1790,2416,1704,1937,2177,4396,2907
PGN_RS00980,1729,1117,2047,1003,1298,890,2011,1053,1094,843,1229,931,1070,697,2960,1389
PGN_RS00985,1735,1094,478,491,1423,632,368,681,1646,813,886,1535,1755,1974,1294,1621
PGN_RS00990,8310,11338,4897,4316,8157,8464,6120,4643,6530,6421,8083,6042,5960,6980,7469,4409
PGN_RS00995,1126,854,603,963,869,443,657,779,1190,422,980,1877,894,1058,1055,1850
PGN_RS01000,24,28,20,21,26,13,25,18,8,19,31,28,47,7,44,33
PGN_RS01005,5776,8628,19119,15614,10599,9601,13254,4782,4881,5071,10611,3449,4254,3507,21737,9867
PGN_RS01015,31431,39563,9716,15937,35446,29279,11399,13322,42969,40269,17491,20332,50657,51971,14438,43561
PGN_RS01025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PGN_RS01030,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
PGN_RS01035,113338,102857,37302,59164,116186,95666,49533,52318,119708,98102,68129,92172,98493,103837,76883,128757
PGN_RS01045,2895,1872,1018,2562,2672,1455,1044,1383,2425,728,1368,2837,1564,2248,1645,4708
PGN_RS01060,6635,6847,3185,4922,6194,4227,4594,5650,7483,4331,6038,7572,4643,5028,6501,5438
PGN_RS01065,72,59,52,48,34,29,35,36,31,43,64,50,63,56,87,74
PGN_RS01070,865,647,863,458,424,339,702,449,552,570,660,635,854,530,1010,1038
PGN_RS01080,177,154,146,188,75,57,112,124,207,148,150,186,351,188,312,439
PGN_RS01085,1253,1479,597,992,466,458,449,774,872,1114,749,995,1663,1220,1779,2014
PGN_RS01090,442,392,240,316,161,149,163,225,307,201,189,208,459,448,434,596
PGN_RS01095,501,478,423,418,174,146,264,238,410,296,324,324,569,535,507,810
PGN_RS01100,1020,772,1507,1080,662,527,1492,1018,1338,578,2210,2734,767,658,1721,1937
PGN_RS01105,1684,1840,805,1071,819,876,1050,1011,1620,1314,1311,1413,1536,1825,1240,1461
PGN_RS01110,2098,1791,832,1033,1133,918,902,894,1909,1384,1030,1311,1522,2018,1219,1459
PGN_RS01115,971,740,431,410,422,383,482,429,859,581,604,590,749,793,741,751
PGN_RS01120,356,248,191,195,194,87,194,180,387,193,238,338,388,420,334,461
PGN_RS01130,11443,13822,7732,11434,7836,7306,18102,26103,14902,13296,44494,52248,15520,10040,30998,19160
PGN_RS01135,3284,3124,1089,1681,1753,1516,1276,1574,2302,2038,1195,2026,2983,3495,2012,2611
PGN_RS01140,3740,4332,1682,2352,1924,1791,1687,1964,2913,2318,1810,2397,3319,4542,2545,3222
PGN_RS01145,1013,929,650,701,1251,828,642,731,1229,693,779,759,642,691,1434,881
PGN_RS01150,2419,2358,2097,2015,3180,1785,2289,1989,2497,1786,1887,1921,1775,1545,3347,1924
PGN_RS01160,844,985,556,587,747,514,476,408,633,511,368,376,750,595,651,593
PGN_RS01165,3779,3346,1455,1324,3710,2085,1238,1242,4077,2016,918,850,2262,3302,1367,1274
PGN_RS01180,3673,3848,1024,2406,2023,1689,907,2310,3571,2845,1471,2603,3485,3654,3054,3747
PGN_RS01185,3765,3032,1276,2607,2711,1972,1358,3177,4446,2413,2175,3602,2538,3281,3424,4289
PGN_RS01200,4522,3987,2166,3618,4239,2876,2160,4258,5058,3254,3932,4705,3534,3473,6201,5658
PGN_RS01205,4660,3152,3083,2952,2926,2342,2904,2767,5453,2552,2700,3517,2955,3082,3474,3968
PGN_RS01215,11950,10761,5012,8895,7853,4550,3454,4971,8380,5610,4305,4462,6500,7716,11654,8711
PGN_RS01220,6105,6791,3907,5096,6648,3911,2825,3021,5855,2937,2686,2522,3796,5633,6998,4709
PGN_RS01225,28540,33795,15441,18777,31662,21128,13633,11463,23762,16795,13248,9626,18725,21822,21861,17144
PGN_RS01230,13050,15346,8118,7432,16020,12792,7255,5392,12947,9059,4352,3783,9437,11315,6972,5793
PGN_RS01235,3066,2934,2934,3262,2053,1318,2527,1953,2070,1171,2021,2143,2001,2319,3446,3753
PGN_RS01240,15507,21506,15478,20940,13236,10086,12458,12522,14368,8079,14325,13701,11086,14857,20752,23659
PGN_RS01250,1124,1287,872,854,1098,808,774,792,1184,639,642,739,768,769,920,819
PGN_RS01255,703,667,866,530,666,494,806,426,833,436,592,530,473,430,872,694
PGN_RS01260,6625,6135,4745,4032,6940,5791,4681,3959,6657,4028,4205,3711,4310,4529,6107,4261
PGN_RS01265,2684,2494,2210,1510,3519,2361,1950,1489,3245,1280,1416,1469,1461,2002,1730,1593
PGN_RS01300,452,270,383,167,298,164,411,148,342,123,160,101,305,214,240,199
PGN_RS01305,1800,1759,761,741,2201,1365,845,757,1957,1150,691,784,1018,1242,946,699
PGN_RS01310,22283,21987,13446,13080,25474,19830,16402,11447,28486,20232,22127,19021,16923,16688,27320,13895
PGN_RS01315,2330,876,1731,585,1760,725,1915,750,1777,788,395,649,891,796,698,827
PGN_RS01320,5664,4250,2285,4135,2510,1903,1714,3763,4218,2451,3081,6597,4397,6040,5628,6974
PGN_RS01325,3127,3176,2779,2179,3604,2543,2487,1666,2461,1584,1378,1553,1983,1970,2613,2174
PGN_RS01330,130,143,323,85,145,129,274,44,72,72,54,17,71,42,86,53
PGN_RS01335,172,188,506,170,186,119,435,95,131,71,133,44,144,106,211,137
PGN_RS01340,286,328,557,336,340,219,645,200,184,167,373,143,288,224,569,363
PGN_RS01345,5604,7373,5454,7113,8477,6299,4358,5153,5576,4150,4013,2634,3370,3901,10206,5171
PGN_RS01355,4716,4528,4983,3470,7148,4810,5131,3266,5549,2714,3982,3426,2452,3026,4659,3257
PGN_RS01360,683,568,667,437,580,412,499,374,458,298,401,408,511,495,716,610
PGN_RS01365,380,352,357,311,369,287,302,277,406,283,422,478,361,384,813,623
PGN_RS01370,1841,2192,2597,1191,1796,1376,2243,1014,1139,665,1391,1373,1112,1124,1535,1413
PGN_RS01400,171258,51148,132019,39685,77191,38310,200347,47030,158458,50300,67365,90241,56998,77122,83076,76774
PGN_RS01405,279721,266713,93836,89763,243461,256848,145792,115479,451078,203859,147211,202190,224520,362739,151512,145492
PGN_RS01410,2420,2723,3620,1908,1851,1592,5899,2204,3559,2278,8310,7206,4161,3053,7121,5412
PGN_RS01415,3905,4428,2266,3468,5795,4905,3097,3529,5195,3746,3058,3363,3590,3618,4379,4098
PGN_RS01420,1259,1135,712,863,1216,801,701,868,1223,773,659,849,1021,1037,1268,1360
PGN_RS01425,1695,1358,1657,1177,1476,1176,1849,1094,1522,875,1427,985,1263,1222,1716,1769
PGN_RS01430,16306,13318,7740,8894,14336,10102,7297,8558,16885,9282,6895,7092,10488,16098,10386,10227
PGN_RS01435,1367,1441,1815,1099,1144,1101,2674,1324,1208,1028,2314,1181,1349,1008,2569,1567
PGN_RS01440,1036,1707,1696,1594,592,940,1738,1269,921,1168,2918,2461,2149,830,4329,4739
PGN_RS01450,68129,57920,21311,29096,4956,2364,2077,1202,1743,3284,2789,1652,50762,54419,57839,42195
PGN_RS01460,7699,8760,7970,6140,10520,9160,7893,4257,7560,6508,5901,3546,6519,6374,12741,6702
PGN_RS01465,1192,1403,1882,809,1029,1028,1718,664,710,731,2759,529,758,545,3215,802
PGN_RS01470,761,746,1113,332,727,532,977,317,460,540,708,232,555,376,1443,267
PGN_RS01480,164,151,405,87,136,131,366,84,110,96,162,80,144,69,287,114
PGN_RS01485,3697,4741,5300,3733,4938,5161,6849,2414,3485,3306,6171,1972,2855,2704,8274,3549
PGN_RS01490,1579,1516,733,931,1299,1228,561,775,1081,876,680,659,937,1102,1188,743
PGN_RS01495,308,323,148,138,466,217,184,119,323,251,109,99,236,277,259,205
PGN_RS01500,10365,11657,6619,5585,18315,12561,5836,4411,11836,7832,3432,2497,6470,8980,6998,4396
PGN_RS01505,373,354,365,243,280,245,273,231,321,177,166,201,313,280,348,246
PGN_RS01510,3193,3101,1580,2019,2251,1820,1516,2559,3470,1591,1778,2726,1828,2857,2108,2290
PGN_RS01520,1299,982,976,668,1080,686,1117,854,1549,685,1050,1000,841,815,1235,844
PGN_RS01530,220,279,1169,323,124,107,1279,282,59,77,272,135,170,44,368,194
PGN_RS01535,227,248,1388,179,169,89,1343,249,51,84,175,100,117,80,314,130
PGN_RS01540,379,463,2759,505,336,265,2712,542,167,133,665,263,141,102,953,260
PGN_RS01545,2352,2417,7470,1910,1566,929,6885,2202,851,807,1518,907,834,640,3142,922
PGN_RS01550,917,1071,4212,1628,541,338,3612,1518,338,243,1640,908,391,297,2876,789
PGN_RS01555,384,307,552,328,108,133,374,332,537,138,509,673,351,406,566,483
PGN_RS01560,53,93,45,54,64,95,40,80,65,84,71,99,78,49,80,93
PGN_RS01565,2785,3537,616,706,1584,1802,773,1066,815,726,859,522,710,747,985,466
PGN_RS01570,1045,1276,1335,844,1367,1210,1508,745,1128,728,1711,719,649,690,1758,792
PGN_RS01575,1680,2030,1918,1388,1908,1879,2395,1388,1613,1249,1971,1236,1377,1232,2162,1358
PGN_RS01580,22464,16576,13132,14187,14483,12492,14241,15921,29306,9979,15288,18232,10216,16089,21057,17312
PGN_RS01590,6957,6313,4135,4807,5397,3883,5410,5711,7337,4412,6874,5330,4599,5704,7556,5064
PGN_RS01605,6838,4635,3551,3054,3817,2173,4082,3314,5572,2669,3776,4450,4294,6360,3768,3988
PGN_RS01610,16966,12463,10316,10414,9437,7545,16793,14083,22649,11382,18905,18640,12822,14867,22680,21138
PGN_RS01615,501,391,454,456,345,262,389,306,457,276,457,319,633,507,751,501
PGN_RS01625,1429,1433,1067,818,1583,1352,1156,635,1339,1070,767,460,1168,1023,1785,854
PGN_RS01630,4802,4521,2114,2447,3401,2956,1700,2437,3691,2698,1743,2169,3328,3419,3506,2900
PGN_RS01640,5171,5975,1285,2849,4144,2969,844,2273,4222,3308,995,2388,5112,5310,2958,3283
PGN_RS01645,5876,6128,4467,4671,6157,6191,6564,5374,6556,5955,8659,7894,6082,4648,9948,6461
PGN_RS01655,4119,950,2727,1012,2114,649,3145,1373,1696,756,572,1393,1944,1189,1031,3232
PGN_RS01665,6190,3114,1107,3453,3540,1458,3137,4354,7930,2730,5185,10985,3879,8051,2494,7358
PGN_RS01670,4415,3663,1046,4784,3467,1571,1924,5413,5917,3101,5771,13946,3591,4690,3996,8729
PGN_RS01675,241,157,68,155,77,70,84,114,170,89,87,188,307,360,130,428
PGN_RS01680,34316,31812,18233,23193,31083,24632,27386,28594,47087,25771,34779,53353,27433,33623,35711,38976
PGN_RS01700,708,756,484,487,486,355,305,296,431,412,348,484,676,494,640,932
PGN_RS01720,6523,5602,2899,4139,5519,3929,2988,4414,4603,3255,2861,3554,3504,3601,4945,4071
PGN_RS01725,959,800,690,767,548,445,617,594,644,492,839,816,683,657,1598,1088
PGN_RS01735,1891,1862,1568,1011,2054,1548,1769,1346,2363,1665,1500,1921,2302,1874,2464,2119
PGN_RS01750,1476,1237,956,1165,1083,857,1029,1148,1640,913,1247,1492,1083,1147,2303,1642
PGN_RS01765,613,497,323,426,336,250,303,466,564,319,372,561,461,491,569,469
PGN_RS01770,526,619,768,343,487,393,1866,512,666,455,2246,1307,680,442,1011,535
PGN_RS01775,18729,16299,9680,9703,21314,12939,15225,10427,23862,13338,15096,15722,12077,15732,17181,12441
PGN_RS01780,3365,2453,1651,1869,3142,1827,3206,3742,5248,2462,4817,7494,2513,3389,3682,3406
PGN_RS01790,21596,23425,18272,9840,31815,24178,23562,15508,33806,20116,13080,11457,17067,17347,16433,10446
PGN_RS01795,1937,1508,1055,1251,1631,1366,1262,1419,1879,1293,1542,1561,1381,1410,2631,1708
PGN_RS01800,1698,1488,780,1212,1638,1124,824,1339,1817,991,934,1427,1268,1252,1416,1443
PGN_RS01805,11007,13040,3775,5957,8068,9183,7156,7953,10337,9694,10532,8181,9871,10995,9890,5730
PGN_RS01810,853,652,329,491,466,355,515,639,665,450,850,895,457,633,1023,562
PGN_RS01815,538,510,342,327,361,357,296,408,346,316,308,362,394,318,533,288
PGN_RS01820,282,256,225,257,163,136,115,224,267,157,154,227,270,222,344,305
PGN_RS01825,288,173,132,123,124,80,102,153,180,145,169,186,193,167,264,206
PGN_RS01830,685,487,374,331,519,340,454,405,808,405,594,546,418,454,593,435
PGN_RS01835,604,628,560,685,675,509,766,554,516,393,932,960,489,452,1177,871
PGN_RS01840,819,862,391,530,878,629,490,538,611,432,408,550,607,578,643,466
PGN_RS01850,1228,1072,606,643,585,463,468,585,854,644,488,625,1046,880,1383,744
PGN_RS01855,1778,1595,1320,1353,1300,945,1118,1177,1611,924,1333,1236,1209,1248,2395,1302
PGN_RS01860,4737,4090,4574,4998,3714,2587,4509,3742,4211,2796,5325,4726,2988,3568,7960,5303
PGN_RS01865,367,345,592,298,334,222,614,182,270,163,318,153,218,227,427,243
PGN_RS01875,3,3,0,2,0,1,1,3,1,1,3,0,3,2,0,2
PGN_RS01880,1744,2732,2069,1281,2258,2515,3053,1355,2489,2123,2279,849,1441,2116,3665,1437
PGN_RS01885,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PGN_RS01890,57,43,28,48,26,17,35,33,63,43,39,93,80,58,83,148
PGN_RS01900,3344,2477,2179,2146,2382,1773,1736,2644,2716,1662,2062,2693,1854,1824,3953,3254
PGN_RS01905,4015,3162,2287,2370,4575,3545,3053,3036,5408,3052,3165,3896,3066,3243,3570,3258
PGN_RS01915,55998,73501,252476,50770,39592,32621,285474,54897,12544,13254,237318,40282,17096,20354,208953,40103
PGN_RS01930,341,205,438,178,267,167,372,195,279,147,195,191,241,187,337,274
PGN_RS01935,3677,3168,3473,2612,3366,2071,2388,2574,2995,1797,2693,2691,2181,2096,4497,2918
PGN_RS01940,1900,1391,1626,1403,1297,883,1115,1446,1668,1067,1589,1413,1394,1355,2408,1747
PGN_RS01945,2163,2162,1500,1492,2025,1754,1480,1140,2150,1256,1342,1237,2595,2938,2181,2816
PGN_RS01950,887,883,947,474,1279,792,965,542,1091,525,660,458,513,680,898,560
PGN_RS01955,2172,1211,2916,983,2135,1184,2229,828,2004,891,1089,687,1016,1023,2062,1173
PGN_RS01960,18154,16288,13483,10216,15538,11282,9348,8253,14244,8344,6581,4993,9941,11815,14196,10238
PGN_RS01975,1229,938,746,923,697,408,737,718,1039,615,869,827,1009,1051,1184,1260
PGN_RS01980,5005,3327,2580,2625,2815,1810,2865,3143,4904,2200,2950,4142,3122,3737,3489,3759
PGN_RS01985,4371,5787,2283,3331,6129,5720,3514,4543,6859,4882,5942,7381,5005,5099,4512,6143
PGN_RS02000,1925,1230,1194,784,1697,870,1241,1046,2009,882,1116,1461,990,971,1274,1214
PGN_RS02005,2995,2512,1150,1563,2894,2087,1240,1721,4028,2117,1343,1789,1842,2397,1532,1688
PGN_RS02010,490,451,348,459,414,284,402,364,651,361,366,551,464,496,625,626
PGN_RS02015,952,816,672,749,622,530,672,901,988,589,841,1074,615,692,1196,902
PGN_RS02025,1179,1195,1541,768,1136,951,1326,489,777,577,1427,602,758,672,2949,724
PGN_RS02030,1103,1013,1087,1297,898,746,914,1457,838,496,1453,2143,825,890,1865,1629
PGN_RS02035,4078,3095,1312,2920,2132,1787,1607,2992,4960,2798,3295,5847,2657,3460,3492,4175
PGN_RS02040,2110,1608,1025,1354,1236,923,1007,1442,2338,1163,1495,2496,1452,1597,1858,2032
PGN_RS02045,13069,10708,6295,11491,12188,7782,8248,13068,16416,7844,14000,27741,8459,11011,10661,17750
PGN_RS02050,522,568,368,392,194,234,261,263,347,274,352,220,426,404,614,488
PGN_RS02055,812,865,673,839,417,337,421,542,611,540,515,420,883,692,1687,1046
PGN_RS02060,9791,10238,5949,7874,7544,7108,6435,6120,8957,7136,7106,6000,8859,8363,12185,10524
PGN_RS02070,8,10,5,8,5,1,5,5,4,4,9,7,17,5,8,13
PGN_RS02075,26,45,67,30,23,15,81,44,22,25,58,48,43,13,66,22
PGN_RS02090,31278,39250,9568,15948,35146,28967,11586,13179,43045,39947,17681,20612,50983,52234,14495,43246
PGN_RS02100,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
PGN_RS02105,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0
PGN_RS02110,113885,102593,36596,59014,116622,94997,49184,52706,119806,96960,68136,92819,98989,104407,76570,129401
PGN_RS02125,1067,1236,434,1104,1025,678,300,1007,786,483,806,975,579,726,1000,1112
PGN_RS02130,515,650,1777,1067,695,658,1469,1039,481,237,1093,578,370,327,1379,557
PGN_RS02135,404,350,1260,713,407,302,983,662,343,236,567,370,357,182,1036,414
PGN_RS02140,554,648,987,695,586,513,1103,820,509,334,1058,709,457,347,1257,494
PGN_RS02145,469,657,1850,950,705,558,1742,860,321,281,933,456,361,220,1148,445
PGN_RS02150,1648,3155,4247,3110,2621,2302,4696,2523,1159,1115,2244,1341,1398,1083,3079,1431
PGN_RS02155,557,761,1834,1030,805,644,2101,1072,370,304,1131,554,326,242,1504,503
PGN_RS02160,908,1500,3482,3348,1179,1092,5958,3657,1143,963,4772,2510,1006,851,2719,1799
PGN_RS02165,144,147,202,156,74,69,315,165,113,101,207,162,128,73,234,158
PGN_RS02170,626,736,1233,779,365,658,1248,1368,391,205,1628,1683,555,485,2284,1699
PGN_RS02190,2678,2668,2892,1641,2852,2068,4429,2193,3222,2412,4678,2355,1856,2027,6269,1901
PGN_RS02195,1842,771,130,2313,328,393,165,2539,343,615,1224,4636,370,1782,374,4547
PGN_RS02200,945,1169,371,630,909,854,470,839,939,758,1242,1082,666,773,991,662
PGN_RS02205,37,33,15,35,15,22,9,30,21,33,17,48,80,19,35,72
PGN_RS02210,71,82,17,111,21,23,12,53,24,38,25,86,80,51,77,115
PGN_RS02215,1862,1666,918,992,802,683,1063,1063,1477,972,1481,1687,1316,1655,1507,1380
PGN_RS02220,1454,883,1109,892,626,397,1191,945,1126,566,1094,1275,954,1021,1357,1298
PGN_RS02225,3258,2223,1449,1772,1759,1148,1595,2093,3019,1446,1566,2570,1964,2410,2480,2848
PGN_RS02230,6145,3766,3017,3630,3825,2265,3195,4163,6271,2752,3415,5841,3377,3619,4402,4930
PGN_RS02235,1594,1267,829,998,712,561,1330,1147,1888,1001,1891,2624,1470,1425,1684,1629
PGN_RS02245,1793,1593,1599,982,1207,911,1059,990,640,548,800,468,784,841,1115,798
PGN_RS02255,3033,2672,1229,2023,2317,1675,767,1930,2223,1395,806,1395,1734,2253,2165,2535
PGN_RS02260,2145,1562,934,1410,1242,803,690,1266,2027,960,683,1442,1268,1614,1348,1917
PGN_RS02265,6101,4410,4596,5577,3035,2031,3425,4862,4610,2382,3357,7686,3999,4673,6352,8292
PGN_RS02270,2271,2037,1252,1991,2581,1498,1437,1915,2520,1289,1776,2696,1516,1535,2179,2397
PGN_RS02275,75,94,84,62,69,52,51,45,18,21,28,26,57,21,51,24
PGN_RS02280,5958,6958,4235,4841,4886,4590,5617,6274,6470,4972,9599,9780,6039,5036,9749,8176
PGN_RS02285,8,2,4,1,1,4,0,3,2588,1599,5451,4251,2466,2550,5345,3403
PGN_RS02290,84,68,144,62,91,39,122,51,99,35,343,104,91,70,503,95
