"gene_id","Wild Type + DP - WT-1_DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP28_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-1_DP28_CACACA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP29_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2_DP28_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2-DP_TTCGCT_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1-28_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2-28_ACAAAC_L001_R1_001 (paired) (GE)-1 - Total gene reads","Pgr Mutant - MUT-1_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-1-28_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2-28_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads"
"PG_RS02480",699,813,976,1346,1433,644,909,1351,981,3341,1008,3429,3317,967,5066,2361
"PG_RS02485",697,987,1026,1006,1799,549,891,2274,606,2400,845,2792,3168,560,6695,2966
"PG_RS02490",989,1318,2198,1976,2424,1476,2877,2579,858,4194,1051,4940,3680,1240,7514,4980
"PG_RS02495",588,509,529,950,968,754,807,854,543,2179,567,1337,1807,885,2940,1889
"PG_RS02500",90,47,144,288,182,141,204,119,158,688,183,358,653,261,1114,351
"PG_RS02505",6,2,4,14,16,5,7,5,12,46,20,42,72,7,155,27
"PG_RS02510",1936,648,501,3014,2539,1161,684,892,2907,5317,3233,1378,7191,2396,10116,1983
"PG_RS02515",334,176,356,980,790,842,526,430,473,2468,333,956,1809,2083,3328,2123
"PG_RS02525",627,594,687,1076,1181,864,1074,1156,509,2339,615,1713,2076,953,3806,2175
"PG_RS02530",590,421,551,1021,859,854,931,741,540,2607,485,1577,2107,1362,3912,2504
"PG_RS02540",280,185,456,700,460,366,633,466,293,1415,370,1468,1297,576,2290,1276
"PG_RS02545",2031,1537,3434,4704,3413,2941,3875,2764,2286,12386,2578,10802,9023,4624,17920,9902
"PG_RS02550",573,487,788,1234,1259,690,867,1019,786,3488,908,2696,3223,1260,6119,2517
"PG_RS02555",278,259,416,606,502,418,443,479,332,1677,348,1391,1191,610,2451,1261
"PG_RS02565",1488,1241,1699,2854,2691,2115,2056,2249,1593,7001,1573,5065,5619,3027,12241,6505
"PG_RS02575",486,574,891,1049,1151,666,888,1284,601,3174,738,3420,2948,1078,5689,3190
"PG_RS02580",278,444,660,1055,862,937,802,884,418,3119,530,2498,2064,1744,4116,3316
"PG_RS02585",3931,3885,4645,7827,8581,5092,5928,7883,4552,19669,5188,13851,15782,8051,31187,17585
"PG_RS02595",305,280,328,752,732,795,399,515,371,1845,400,997,1205,799,2170,1230
"PG_RS02600",85,82,194,194,157,180,247,155,94,535,88,519,494,303,892,654
"PG_RS02625",2527,876,733,5278,3844,2907,1345,1633,2775,9211,3320,2014,8795,8187,11713,2853
"PG_RS02630",11614,6879,7554,19670,25500,23847,14566,20567,13656,55763,9963,21415,75686,49479,131168,58630
"PG_RS02635",1836,2327,4709,6718,6081,5226,8582,6789,1782,14077,2906,12725,10811,7042,24912,17848
"PG_RS02640",6884,4923,8749,18201,12893,20845,14223,8963,5826,43717,6437,21301,20542,30847,34712,40927
"PG_RS02650",235,157,322,593,553,379,448,409,262,1660,388,1009,1496,837,5561,1224
"PG_RS02655",1413,1455,2529,3243,2798,2729,3946,3111,1191,7545,1587,8663,5959,3561,11765,8493
"PG_RS02660",1211,1306,1531,2361,2449,1788,2161,2450,1184,5866,1337,4294,5348,2595,8806,4922
"PG_RS02675",364,327,375,558,720,387,419,588,488,1704,501,1110,1833,521,3087,1243
"PG_RS02680",424,245,461,702,626,405,585,482,570,1897,469,1489,2036,801,2740,1348
"PG_RS02685",921,974,1828,2512,1841,2237,2782,1984,1036,6201,1126,4050,4106,2788,8057,5377
"PG_RS02690",1067,464,668,2329,1340,1372,968,645,1255,4169,993,1566,3203,1883,4981,1250
"PG_RS02700",338,574,339,337,1074,163,274,1269,334,835,491,954,1939,188,4242,996
"PG_RS02705",493,611,370,488,1107,296,227,1065,588,1099,646,1030,2729,278,3958,980
"PG_RS02710",1250,597,323,1060,1484,462,246,820,1553,1995,1160,932,4495,856,4820,951
"PG_RS02720",3853,2147,2646,9395,6801,3998,2190,4232,5979,16015,5463,6071,18650,6646,29741,8056
"PG_RS02740",53,46,101,135,149,96,144,100,70,412,86,367,331,153,848,352
"PG_RS02745",151,179,406,383,494,234,653,504,159,1038,254,2178,924,392,3104,1624
"PG_RS02750",772,1638,2649,2315,3355,1054,3183,4455,751,8063,1727,10117,5732,1069,15169,10682
"PG_RS02755",1465,2063,4898,5765,4334,3668,5858,5055,1880,17517,2797,17387,10447,5187,18632,15758
"PG_RS02765",205,178,245,391,286,266,284,214,246,958,183,848,582,400,1053,670
"PG_RS02770",426,529,621,737,0,1,1,0,748,2762,1489,1842,1,1,3,3
"PG_RS02780",2022,2087,3204,3836,3509,3026,4411,3585,1598,8873,1676,7773,6639,3544,13332,9514
"PG_RS02790",339,601,740,611,1394,668,1225,1692,310,1767,437,2042,2250,915,5346,3596
"PG_RS02795",100,222,254,167,541,146,454,672,66,519,158,791,934,195,2434,1474
"PG_RS02800",575,783,1200,1263,1897,1330,2190,2155,545,3143,707,3441,4419,2589,8283,6459
"PG_RS02805",218,190,150,284,589,317,314,488,175,623,195,358,1415,482,2134,1101
"PG_RS02815",274,361,990,810,864,827,1540,826,404,2388,483,3806,1946,1135,3682,2688
"PG_RS02835",9381,12141,21183,22012,22901,12775,24600,33853,8176,62024,11215,64020,44809,16458,103769,75081
"PG_RS02840",1388,1551,2748,2524,2913,2002,3605,3777,1470,7538,1927,11083,7374,2670,15407,9453
"PG_RS02845",1377,1466,2357,2958,3081,2752,3179,3276,1676,8284,1920,7365,7108,3841,13279,9973
"PG_RS02850",486,511,662,842,913,669,816,956,540,2547,578,2134,2003,1179,4389,2782
"PG_RS02855",934,760,1003,1917,1885,1715,1635,1612,965,4995,1271,3127,4419,3000,8205,5550
"PG_RS02860",85,55,142,248,221,218,357,179,99,791,132,607,574,664,1226,848
"PG_RS02865",72,38,80,201,135,117,151,111,93,462,111,229,404,317,797,430
"PG_RS02870",611,349,682,1657,943,1162,1203,737,693,4170,802,2581,2233,2800,4346,3153
"PG_RS02875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS02880",67,70,77,124,168,87,117,169,78,254,82,267,332,83,605,245
"PG_RS02890",6028,5939,6303,9459,11154,7261,7335,9745,4815,18261,5075,12137,16111,6793,26282,15484
"PG_RS02905",193,174,227,394,361,362,319,239,214,933,216,516,771,369,1421,610
"PG_RS02910",168,189,228,281,352,185,327,362,194,742,221,806,911,277,1618,764
"PG_RS02915",265,277,470,553,571,462,729,518,252,1431,318,1228,1075,632,2282,1368
"PG_RS02920",848,903,1103,1405,1594,1131,1462,1636,738,4188,950,2989,3213,1510,5992,3691
"PG_RS02925",296,328,457,555,656,389,627,700,334,1643,410,1679,1575,588,3465,1435
"PG_RS02930",192,203,346,409,476,287,424,414,232,1046,282,1144,967,424,1954,1059
"PG_RS02935",4057,3778,6070,8500,8088,5776,8359,9339,3322,20114,3986,15647,14126,8182,35590,24087
"PG_RS02940",7122,7114,11847,21626,15167,13486,20297,17710,8009,56075,10522,38121,40836,18905,79391,59019
"PG_RS02945",638,728,1393,1490,1682,955,1983,1937,758,5265,1039,5085,4453,1553,9677,6042
"PG_RS02950",176,234,509,501,499,326,763,557,253,2144,334,2569,1221,732,3207,2526
"PG_RS02955",625,641,1247,1597,995,1003,1760,1315,803,4865,877,5977,3349,2256,6529,5831
"PG_RS02960",333,274,425,710,683,566,599,527,440,2184,489,1696,2076,1000,4202,2065
"PG_RS02965",2484,3422,4361,5760,6904,4679,6666,7198,3266,23524,5190,18116,19845,6640,37873,25387
"PG_RS02970",1478,1908,3399,3561,3750,3567,4779,3782,1395,7662,1853,8119,4963,3406,12446,8510
"PG_RS02975",1262,1626,2331,2864,2831,2161,3264,3312,1193,7901,1553,5950,5827,2977,11475,8503
"PG_RS02980",243,172,264,515,409,401,418,426,266,1550,227,913,1365,709,2500,1320
"PG_RS02985",347,319,897,947,626,1398,1920,403,460,2404,516,2801,1763,3448,3467,3919
"PG_RS02990",116,157,209,270,280,443,492,189,148,760,203,908,741,963,1506,1266
"PG_RS03000",194,447,557,559,751,843,921,477,254,1479,467,1490,1050,1125,2285,2021
"PG_RS03005",275,773,969,884,1028,1227,1541,945,328,2445,778,2823,1538,1337,3693,3685
"PG_RS03010",266,426,719,588,954,737,1128,996,292,1780,489,1911,1746,1324,3576,3183
"PG_RS03015",243,395,532,578,613,639,706,731,239,1698,400,1407,1128,864,2137,2101
"PG_RS03020",588,835,747,911,3468,1843,2104,3354,297,1441,421,948,3345,1610,6613,3623
"PG_RS03025",6580,7358,11137,11997,14372,10091,18947,17406,6835,36429,8013,33366,31859,15088,65655,40336
"PG_RS03030",7639,10045,9496,13691,20750,9517,17042,25631,7556,38127,8862,28060,36883,11750,79522,48577
"PG_RS03035",1738,2864,3447,3931,7090,2869,6513,9400,2018,14347,3325,12887,14308,3621,46307,22233
"PG_RS03040",69,139,142,162,452,79,320,557,109,850,223,879,1016,119,4716,1592
"PG_RS03045",7053,5889,8295,17772,19944,11051,16110,16090,14104,89232,16841,45458,82244,30082,168244,72728
"PG_RS03050",2065,1784,2612,4674,4633,2766,3484,4117,1958,11554,2621,8534,12277,4647,20587,8215
"PG_RS03055",46168,30793,32688,69060,55911,52803,39499,38625,49111,146883,40055,83058,107555,76230,151796,80947
"PG_RS03060",1480,727,680,2121,2588,1030,851,1379,1898,4677,1720,2200,5737,1968,8275,2324
"PG_RS03065",906,1261,2146,1979,2762,1930,3427,2916,952,5158,1301,6846,4931,2221,11114,7044
"PG_RS03085",423,483,661,814,844,540,796,832,500,2104,533,2204,1774,811,3430,2300
"PG_RS03100",67,37,67,117,174,152,77,55,112,266,121,135,387,145,1774,171
"PG_RS03105",4691,7154,9277,10035,23995,10063,19732,33305,2014,18444,3342,18440,20984,12469,55718,40184
"PG_RS03110",1381,701,1335,2442,1955,1606,1880,1522,1292,6255,1093,2935,5486,2906,10211,4182
"PG_RS03115",1223,1080,2114,5367,3234,4491,4524,2710,1392,14625,1996,5161,7231,9079,15458,12559
"PG_RS03120",835,642,942,3127,1960,2831,2203,1651,913,6481,1219,2053,4254,3807,8784,5918
"PG_RS03125",1083,333,343,1950,1255,966,389,466,1525,3575,1246,660,3151,1747,5194,1108
"PG_RS03130",434,340,625,1139,837,1017,1107,617,484,2968,567,1724,1944,2016,3619,2512
"PG_RS03135",254,368,449,705,624,520,560,550,273,1715,415,1134,1038,623,2006,1416
"PG_RS03140",708,732,797,1506,1205,1040,1044,911,668,3274,758,2117,2113,1210,3951,1987
"PG_RS03145",262,142,128,494,335,142,119,129,370,972,420,448,798,305,1183,334
"PG_RS03150",144,163,900,320,275,179,630,167,214,683,264,2294,406,217,835,381
"PG_RS03155",364,144,170,459,291,164,165,155,421,1007,366,495,691,298,1218,316
"PG_RS03160",217,133,129,393,258,155,120,141,242,683,253,374,533,192,1060,296
"PG_RS03165",2075,1529,2570,3641,3349,3201,3611,2421,2387,8232,2104,7504,6569,4120,10198,6248
"PG_RS03170",4070,5442,7115,8903,8883,6608,9373,9976,4341,21201,5448,18603,17036,6395,33513,20625
"PG_RS03175",163,208,339,366,438,182,367,451,202,1135,272,1142,955,391,1969,1003
"PG_RS03180",3625,1590,1690,7648,5226,3874,2176,2546,3813,8904,3480,3428,10910,7490,15996,4830
"PG_RS03185",480,509,731,1102,1258,817,1115,1083,787,3632,780,3034,3647,1446,5939,3340
"PG_RS03190",961,746,1344,2169,2089,1213,1935,1918,1230,5689,1240,5826,6047,2449,10217,5789
"PG_RS03195",524,426,853,1086,1007,687,1187,1021,604,3325,702,3119,2743,1416,5692,3179
"PG_RS03200",701,404,846,1482,1211,918,1180,863,739,3464,843,2227,2678,1509,5962,2553
"PG_RS03210",629,722,1063,1260,1467,1246,1795,1469,538,2868,657,2132,2303,1002,5163,3046
"PG_RS03215",647,790,1586,1581,1607,1696,2425,1798,598,3942,728,3878,2713,1650,6704,5460
"PG_RS03220",551,767,1241,1242,1490,1115,1822,1764,605,3586,822,3474,3048,1493,6556,4447
"PG_RS03225",206,307,506,421,583,385,671,739,229,1310,335,1556,1302,491,2701,1691
"PG_RS03230",154,118,200,301,247,269,326,237,135,607,147,574,483,343,1059,684
"PG_RS03235",288,262,594,799,700,490,906,783,319,1897,423,2044,1662,887,3628,2168
"PG_RS03240",1259,1406,1640,2318,2417,2161,2812,2524,1545,6484,1708,6800,5775,2733,11182,7238
"PG_RS03245",360,272,345,657,607,495,579,471,373,1354,379,1310,1366,712,2297,1300
"PG_RS03250",81,30,46,121,84,49,45,29,144,363,124,133,416,105,998,116
"PG_RS03260",2505,1033,1296,3789,3412,2126,1558,1566,3002,7731,2531,3241,8604,3421,12079,3543
"PG_RS03265",95,108,129,170,216,119,178,261,141,622,134,555,723,202,1467,668
"PG_RS03270",85,78,205,198,226,174,288,200,144,695,167,809,563,243,1560,759
"PG_RS03275",55,62,101,139,144,120,150,122,89,425,95,316,465,212,892,441
"PG_RS03280",130,124,226,255,265,175,247,232,124,758,134,571,617,234,1513,690
"PG_RS03285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS03290",145,58,77,300,216,162,144,97,237,785,222,342,802,417,1725,417
"PG_RS03295",260,262,300,478,572,374,387,375,391,1380,413,864,1086,482,2206,1094
"PG_RS03305",520,498,813,1122,987,836,1273,1032,688,4021,675,2928,2854,1692,5713,4329
"PG_RS03320",605,929,1054,1109,1654,850,1333,1769,706,3572,1040,4129,3605,1080,6584,4376
"PG_RS03325",367,524,600,700,854,573,633,1054,513,1881,549,2265,1799,702,3530,2427
"PG_RS03330",1603,2644,3399,3725,5205,2565,3999,6040,1429,9286,2260,9109,8514,2467,17096,10364
"PG_RS03335",2618,3254,5895,6107,5717,5101,8054,5757,2241,15266,3226,14814,9193,5446,20695,15715
"PG_RS03340",0,0,7,22,11,7,2,6,18,22,8,0,19,11,28,7
"PG_RS03350",96,64,106,183,179,151,144,113,185,578,186,526,577,291,1309,461
"PG_RS03355",4890,5045,9681,12208,8540,10694,15842,8501,4740,30328,5936,26740,19770,14968,33977,31412
"PG_RS03360",1636,2069,3079,3396,3903,2456,3751,4806,1400,7037,1668,8245,6533,2317,13189,8735
"PG_RS03365",384,469,770,679,1105,369,866,1229,268,1592,295,1804,1204,379,3197,1790
"PG_RS03370",1407,2115,4760,6232,3953,5812,7090,4308,1567,13418,2709,11322,7171,5554,15854,12911
"PG_RS03380",128,65,80,246,215,137,128,84,188,515,182,320,598,234,875,238
"PG_RS03385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS03390",1398,1931,3089,3624,3955,3338,4963,5006,1056,8662,1513,8142,7203,3665,14893,10344
"PG_RS03395",395,778,1167,959,1890,580,1805,2777,266,2594,561,2933,2289,617,8568,4297
"PG_RS03400",1484,1834,2195,2928,3971,2334,3814,4682,982,6855,1552,5258,5462,2978,12849,8874
"PG_RS03410",256,193,250,621,547,322,352,352,395,1533,478,734,2124,632,4289,953
"PG_RS03415",3680,3055,2958,6087,7135,3400,3847,6985,4423,16289,4371,10409,19941,6021,25943,11205
"PG_RS03420",1654,2245,2228,2730,5157,1684,2801,5952,1587,8750,2232,7442,10154,2551,19302,8915
"PG_RS03425",2364,3998,2285,3903,7717,3173,3668,9100,2171,11629,3228,7158,10739,3322,25448,13737
"PG_RS03430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS03435",93,92,130,184,213,121,170,190,160,649,192,600,653,305,1524,582
"PG_RS03440",167,140,303,318,420,220,310,308,253,1204,266,972,1132,353,2207,805
"PG_RS03445",11144,12459,15487,23854,20384,20960,23197,19910,10661,53356,12507,33240,36496,23345,65026,48454
"PG_RS03450",97,97,399,430,219,284,585,240,133,1276,173,1760,559,530,1238,1077
"PG_RS03455",1166,1091,2285,2852,2224,2299,3206,2346,1271,7424,1443,8396,5503,3471,10682,7386
"PG_RS03460",1116,973,1866,2936,2129,1785,2624,2210,1329,7541,1407,7101,5456,3246,9618,6548
"PG_RS03470",452,461,718,965,1080,494,1048,1111,458,2702,594,2006,1975,820,5687,2702
"PG_RS03475",632,785,1551,2337,1793,2317,2713,1837,601,4659,904,3364,2534,2556,6063,5103
"PG_RS03480",1497,1760,2251,2908,3967,2055,3344,4283,1446,7124,2011,6492,7933,2744,15761,7533
"PG_RS03485",1302,1081,1442,2256,2589,1784,1957,2347,1561,5557,1605,4708,6088,2447,10880,5039
"PG_RS03490",163,193,194,453,408,416,351,285,230,1082,333,516,992,691,1687,938
"PG_RS03495",3272,3145,6699,10065,9066,8935,12076,7829,3200,21440,4621,18948,15790,12650,31022,21350
"PG_RS03500",693,217,156,893,389,297,136,167,733,1537,611,476,1105,546,1284,516
"PG_RS03505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS03510",166,195,308,401,405,362,652,439,161,1219,216,977,832,668,1878,1214
"PG_RS03515",721,701,1313,1760,1674,1323,2721,1983,511,3728,704,3766,2916,1808,5922,4799
"PG_RS03525",1971,2105,3205,4103,4460,2648,4464,5884,1749,11191,2078,9851,10542,4678,17813,10591
"PG_RS03530",3840,4487,5695,8634,9987,6238,8614,13505,3228,20933,4260,15296,15452,9329,35513,25147
"PG_RS03540",2315,2353,4264,5671,5139,3851,6259,5991,2545,16508,3073,14376,12811,7912,26059,17167
"PG_RS03570",72,78,68,109,216,216,164,138,71,320,90,156,382,358,876,498
"PG_RS03575",13,9,25,50,42,24,41,31,11,111,25,88,104,55,272,115
"PG_RS03580",131,82,134,244,263,127,174,170,132,553,119,495,473,211,974,530
"PG_RS03585",59,42,43,57,45,34,35,38,37,163,34,104,122,65,581,136
"PG_RS03590",348,208,252,737,663,462,361,344,414,1323,370,729,1636,882,2371,895
"PG_RS03595",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS03600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"PG_RS03605",32,12,9,59,39,37,25,19,23,98,25,11,90,52,138,39
"PG_RS03610",23,6,7,37,26,25,9,16,36,75,22,33,86,30,254,37
"PG_RS03615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"PG_RS03620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS03625",0,1,292,0,0,0,0,3,0,0,0,0,0,0,0,0
"PG_RS03630",8,3,2,8,3,1,1,7,8,30,7,10,21,13,45,10
"PG_RS03635",31,6,12,118,0,25,0,0,35,86,36,52,136,85,246,120
"PG_RS03640",38,18,31,107,63,33,39,41,53,173,47,61,198,103,387,103
"PG_RS03645",29,23,27,63,73,25,18,30,54,169,63,55,208,58,332,58
"PG_RS03650",607,182,226,927,996,290,248,306,1137,2004,1145,831,3277,736,5001,666
"PG_RS03655",862,395,321,1285,2107,527,374,650,1542,2764,2046,1190,5217,1067,10020,1373
"PG_RS03660",34,11,18,59,107,29,14,39,45,117,81,57,234,38,566,76
"PG_RS03665",422,119,180,622,641,285,230,192,633,1409,614,488,1642,751,3886,515
"PG_RS03670",167,40,129,332,237,100,181,94,236,678,253,361,797,332,1368,261
"PG_RS03675",757,455,545,1300,1022,825,745,636,777,2585,761,1288,2127,1305,3228,1584
"PG_RS03680",346,300,450,558,590,502,635,567,412,1740,388,1254,1476,983,2388,1473
"PG_RS03685",984,394,550,2125,1826,954,906,708,1482,4362,1533,1617,4849,2118,9235,2053
"PG_RS03690",2532,1470,2363,8289,6398,3626,3498,3404,3374,13882,5126,7682,14725,6866,30397,8659
"PG_RS03695",74,52,100,180,130,139,137,100,86,582,84,385,449,305,689,528
"PG_RS03700",83,64,95,144,146,113,167,170,85,535,77,454,482,309,911,588
"PG_RS03705",18,21,36,28,40,26,52,43,17,136,33,142,89,69,258,146
"PG_RS03710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS03715",0,8,3,6,15,13,13,13,5,31,4,14,9,11,76,16
"PG_RS03720",167,105,113,334,241,278,231,174,161,521,129,244,429,361,723,388
"PG_RS03725",59,41,96,127,135,140,215,94,102,458,84,625,499,600,844,702
"PG_RS03730",90,22,61,188,130,65,76,76,152,536,153,178,587,200,1074,253
"PG_RS03735",141,44,42,369,269,197,118,150,265,910,286,133,936,638,1543,627
"PG_RS03740",202,146,140,612,488,244,174,180,339,977,395,390,1037,372,1530,473
"PG_RS03745",81,55,49,143,105,62,62,55,99,350,129,191,238,197,398,212
"PG_RS03750",0,2,1,5,2,3,0,0,0,3,1,9,10,3,18,11
"PG_RS03755",1693,1741,4331,7578,4725,7051,5899,3170,2696,19354,4210,12450,10284,11394,21161,14665
"PG_RS03760",843,413,586,2436,1829,1360,1172,880,1423,5694,1544,2063,5605,4127,9593,3536
"PG_RS03765",393,236,390,880,973,630,628,459,618,2234,819,1308,2237,1488,4735,1396
"PG_RS03770",12,5,8,28,25,12,16,27,21,77,35,27,66,37,303,54
"PG_RS03775",11,7,13,24,37,13,12,28,12,64,18,46,86,22,249,65
"PG_RS03780",96,86,121,194,266,120,184,261,111,571,161,409,622,222,1443,626
"PG_RS03785",610,391,452,857,953,783,635,629,743,1751,554,1193,2082,1042,3135,1365
"PG_RS03790",2434,1867,2656,4717,5279,3212,3359,4277,3160,11907,3078,8237,11702,5405,20350,10101
"PG_RS03795",1649,1130,1500,2926,2995,1753,1802,2449,2106,7438,2219,5185,8238,3345,13766,5956
"PG_RS03800",46,18,44,102,92,57,75,52,64,198,65,145,229,111,485,136
"PG_RS03805",11,14,21,29,35,29,53,21,26,111,19,96,91,94,257,89
"PG_RS03810",146,158,123,214,289,140,118,223,166,537,180,435,574,246,1006,493
"PG_RS03815",274,144,200,640,505,321,295,232,318,1116,338,441,1117,697,2039,670
"PG_RS03820",222,153,179,324,259,232,252,222,266,736,185,448,674,372,1082,638
"PG_RS03825",37,34,39,64,93,44,40,87,47,166,51,105,234,82,387,154
"PG_RS03830",11,15,11,33,19,17,18,23,25,65,20,54,72,27,134,42
"PG_RS03835",17,7,8,19,31,18,17,29,21,38,12,29,58,36,138,54
"PG_RS03840",28,11,17,68,43,33,55,19,34,109,23,49,163,108,291,135
"PG_RS03845",1,0,0,2,0,1,1,3,1,3,1,5,12,5,27,6
"PG_RS03850",211,56,72,261,241,87,73,60,313,438,243,198,623,155,826,148
"PG_RS03855",53,23,29,88,122,49,24,43,105,191,93,76,266,92,458,86
"PG_RS03860",150,46,107,345,193,152,123,76,228,718,220,268,609,482,1022,294
"PG_RS03865",85,33,41,149,60,51,52,29,95,318,90,149,181,143,325,117
"PG_RS03875",658,515,807,1360,1040,1187,1284,911,561,2899,604,1962,1876,1472,2985,2525
"PG_RS03895",436,678,1149,1198,1526,777,1674,1624,513,3175,773,3883,2563,1003,6252,4267
"PG_RS03900",1375,1776,2735,3889,3706,3052,3826,3427,1797,10349,2323,8953,8046,4038,14474,9787
"PG_RS03905",304,367,477,675,859,553,738,784,380,1817,458,1782,1724,655,3673,2117
"PG_RS03910",441,483,532,688,1114,613,789,1117,517,2125,605,1937,2348,733,4226,2254
"PG_RS03915",392,309,188,602,926,555,366,557,720,1812,643,926,2187,852,4034,1541
"PG_RS03920",182,204,242,396,663,572,757,668,253,1159,352,909,2155,1145,4495,2353
"PG_RS03925",491,483,589,1000,2209,1173,1727,2200,939,3550,961,2281,7246,3936,12593,6554
"PG_RS03940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS03945",461,419,572,943,913,789,994,698,471,2408,497,1566,1968,1174,3684,2085
"PG_RS03950",496,577,643,811,1171,475,670,1061,623,1902,646,2372,2929,619,4620,1944
"PG_RS03955",289,242,248,407,627,326,320,405,374,846,285,641,1066,360,1818,611
"PG_RS03960",308,415,332,544,795,360,453,1046,305,1529,350,1079,1365,607,3138,1235
"PG_RS03965",633,798,943,973,1419,649,1370,2244,461,2952,570,2513,2499,883,5671,2890
"PG_RS03970",12,6,19,22,16,12,24,19,4,52,14,55,38,23,212,40
"PG_RS03975",184,163,278,429,311,261,413,315,177,997,218,1021,724,439,1715,890
"PG_RS03980",1255,1190,1739,3658,2537,1857,2490,2094,1296,8004,1796,4528,6237,2723,10232,5357
"PG_RS03990",222,189,284,620,422,646,566,285,285,1684,298,914,939,905,2174,953
"PG_RS03995",555,437,657,1349,835,835,1052,775,566,2974,480,1861,2060,1336,2969,2157
"PG_RS04000",1676,1543,2152,3956,3312,3352,3651,3116,1600,8998,1849,5564,6118,4111,11110,8768
"PG_RS04005",250,200,338,477,646,365,584,537,193,1104,256,822,965,446,2336,1174
"PG_RS04010",375,150,264,606,547,359,433,232,411,1100,380,583,1095,449,1909,540
"PG_RS04015",719,385,114,540,575,275,121,333,473,729,261,179,992,299,1259,372
"PG_RS04020",5,2,1,2,4,2,2,1,5,5,4,5,9,7,31,7
"PG_RS04025",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"PG_RS04030",511,234,610,1776,806,538,827,525,760,2406,668,1002,2031,882,3007,1018
"PG_RS04035",279,261,431,592,879,525,884,865,242,1064,280,1175,1697,566,3098,1472
"PG_RS04040",1165,1194,1667,2622,2338,1763,2671,2538,1057,5170,1135,4489,4544,2367,8439,5199
"PG_RS04045",980,1232,2191,2749,2740,2102,3777,2912,796,5406,977,4950,4060,1948,8736,6269
"PG_RS04050",205,147,230,349,433,286,439,320,212,973,234,919,1002,650,2092,1118
"PG_RS04060",511,643,1220,1421,1384,1115,1980,1399,506,3401,686,2924,2299,1391,5042,3624
"PG_RS04065",1845,1080,1799,3202,2804,2365,2991,2226,1652,6814,1605,4335,6259,3852,11357,6404
"PG_RS04070",195,108,231,427,422,265,344,376,288,1008,229,700,1392,837,2201,948
"PG_RS04080",2697,3171,3836,5075,7150,3683,7154,8639,1668,8658,2160,8685,10942,4532,19532,12534
"PG_RS04085",655,361,539,870,876,563,722,870,690,2300,543,1497,2055,860,3084,1872
"PG_RS04090",177,142,223,286,363,278,445,373,163,774,162,928,874,431,1568,1163
"PG_RS04095",330,265,468,577,720,482,892,803,344,1758,326,1777,1499,728,2976,2223
"PG_RS04105",2735,3557,3712,3420,6192,1887,2579,6368,3197,8678,3407,8526,13335,2205,19485,8077
"PG_RS04110",393,411,791,1087,751,852,1025,722,349,2200,502,2100,1556,1180,3459,2037
"PG_RS04115",718,721,988,1362,1368,972,1306,1352,663,2973,699,2990,3040,1254,4510,3076
"PG_RS04120",710,1297,1810,1556,2544,1289,2575,3129,620,4588,1048,5447,4228,1547,9861,6557
"PG_RS04125",3096,3047,3102,5164,4720,4677,4153,4458,2940,11435,2838,7355,8088,5424,12809,9057
"PG_RS04130",479,447,811,941,993,916,1143,906,595,2599,588,2435,2137,1199,4500,2393
"PG_RS04140",12,16,49,46,23,57,70,45,87,235,79,211,256,99,442,244
"PG_RS04160",34,30,42,55,37,32,56,36,45,143,41,121,126,67,254,131
